order_id,date,region,category,sales_rep,units,unit_price,revenue,discount_pct
1001,2025-06-05,LATAM,Laptops,A. Mehta,35,1097.8,34580.7,10
1002,2025-01-17,Europe,Laptops,A. Mehta,28,1219.31,34140.68,0
1003,2025-02-18,LATAM,Laptops,R. Novak,8,1417.79,9640.97,15
1004,2025-11-19,North America,Accessories,R. Novak,26,38.92,1011.92,0
1005,2025-01-18,Europe,Tablets,M. Silva,10,546.59,4919.31,10
1006,2025-05-18,Europe,Laptops,R. Novak,37,1302.09,48177.33,0
1007,2025-02-18,North America,Accessories,A. Mehta,40,41.03,1395.02,15
1008,2025-09-14,APAC,Monitors,R. Novak,30,297.13,8913.9,0
1009,2025-03-23,Europe,Laptops,R. Novak,20,1259.45,25189.0,0
1010,2025-12-15,APAC,Accessories,A. Mehta,8,45.16,361.28,0
1011,2025-06-05,LATAM,Monitors,A. Mehta,5,334.61,1505.75,10
1012,2025-06-11,APAC,Accessories,M. Silva,38,49.01,1862.38,0
1013,2025-02-09,LATAM,Laptops,A. Mehta,20,1305.17,22187.89,15
1014,2025-08-10,LATAM,Tablets,A. Mehta,30,516.59,13947.93,10
1015,2025-02-16,North America,Phones,L. Chen,9,878.64,7512.37,5
1016,2025-07-28,LATAM,Laptops,J. Okafor,29,1213.12,35180.48,0
1017,2025-03-27,LATAM,Accessories,L. Chen,27,51.57,1183.53,15
1018,2025-07-08,Europe,Laptops,J. Okafor,10,1149.48,11494.8,0
1019,2025-01-16,Europe,Tablets,L. Chen,1,482.6,434.34,10
1020,2025-06-20,APAC,Phones,S. Haddad,33,930.76,26107.82,15
1021,2025-11-24,North America,Monitors,S. Haddad,36,299.99,10259.66,5
1022,2025-07-04,LATAM,Monitors,A. Mehta,13,269.76,3506.88,0
1023,2025-08-06,North America,Tablets,R. Novak,4,475.59,1712.12,10
1024,2025-03-18,North America,Tablets,R. Novak,2,470.39,940.78,0
1025,2025-10-13,Europe,Tablets,L. Chen,39,517.99,20201.61,0
1026,2025-02-28,LATAM,Monitors,M. Silva,31,292.5,9067.5,0
1027,2025-02-24,APAC,Tablets,M. Silva,11,542.65,5969.15,0
1028,2025-09-12,Europe,Accessories,A. Mehta,34,42.27,1221.6,15
1029,2025-02-23,APAC,Accessories,L. Chen,11,43.05,473.55,0
1030,2025-09-18,APAC,Phones,R. Novak,13,895.3,9311.12,20
1031,2025-07-24,Europe,Phones,R. Novak,32,784.47,25103.04,0
1032,2025-01-26,APAC,Monitors,L. Chen,13,327.9,4262.7,0
1033,2025-08-26,APAC,Tablets,A. Mehta,15,475.55,6776.59,5
1034,2025-04-11,Europe,Monitors,R. Novak,40,341.66,12983.08,5
1035,2025-11-12,North America,Laptops,M. Silva,13,1241.76,16142.88,0
1036,2025-07-26,APAC,Laptops,S. Haddad,26,1236.19,27319.8,15
1037,2025-02-24,Europe,Phones,J. Okafor,2,734.18,1394.94,5
1038,2025-11-05,LATAM,Tablets,J. Okafor,36,547.82,19721.52,0
1039,2025-01-26,North America,Accessories,S. Haddad,9,44.11,317.59,20
